graph: 398, count: 27, tot checked: 4272048
graph: 399, count: 27, tot checked: 4272048
graph: 400, count: 27, tot checked: 4272048
graph: 401, count: 27, tot checked: 4272048
graph: 402, count: 27, tot checked: 4272048
graph: 403, count: 27, tot checked: 4272048
graph: 404, count: 27, tot checked: 4272048
graph: 405, count: 27, tot checked: 4272048
graph: 406, count: 27, tot checked: 4272048
graph: 407, count: 27, tot checked: 4272048
graph: 408, count: 27, tot checked: 4272048
graph: 409, count: 27, tot checked: 4272048
graph: 410, count: 27, tot checked: 4272048
graph: 411, count: 27, tot checked: 4272048
graph: 412, count: 27, tot checked: 4272048
graph: 413, count: 27, tot checked: 4272048
graph: 414, count: 27, tot checked: 4272048
graph: 415, count: 27, tot checked: 4272048
graph: 416, count: 27, tot checked: 4272048
graph: 417, count: 27, tot checked: 4272048
graph: 418, count: 27, tot checked: 4272048
graph: 419, count: 27, tot checked: 4272048
graph: 420, count: 27, tot checked: 4272048
graph: 421, count: 27, tot checked: 4272048
graph: 422, count: 27, tot checked: 4272048
graph: 423, count: 27, tot checked: 4272048
graph: 424, count: 27, tot checked: 4272048
graph: 425, count: 27, tot checked: 4272048
graph: 426, count: 27, tot checked: 4272048
graph: 427, count: 27, tot checked: 4272048
graph: 428, count: 27, tot checked: 4272048
graph: 429, count: 27, tot checked: 4272048
graph: 430, count: 27, tot checked: 4272048
graph: 431, count: 27, tot checked: 4272048
graph: 432, count: 27, tot checked: 4272048
graph: 433, count: 27, tot checked: 4272048
graph: 434, count: 27, tot checked: 4272048
graph: 435, count: 27, tot checked: 4272048
graph: 436, count: 27, tot checked: 4272048
graph: 437, count: 27, tot checked: 4272048
graph: 438, count: 27, tot checked: 4272048
graph: 439, count: 27, tot checked: 4272048
graph: 440, count: 27, tot checked: 4272048
graph: 441, count: 27, tot checked: 4272048
graph: 442, count: 27, tot checked: 4272048
graph: 443, count: 27, tot checked: 4272048
graph: 444, count: 27, tot checked: 4272048
graph: 445, count: 27, tot checked: 4272048
graph: 446, count: 27, tot checked: 4272048
graph: 447, count: 27, tot checked: 4272048
graph: 448, count: 27, tot checked: 4272048
graph: 449, count: 27, tot checked: 4272048
graph: 450, count: 27, tot checked: 4272048
graph: 451, count: 27, tot checked: 4272048
graph: 452, count: 27, tot checked: 4272048
graph: 453, count: 27, tot checked: 4272048
graph: 454, count: 27, tot checked: 4272048
graph: 455, count: 27, tot checked: 4272048
graph: 456, count: 27, tot checked: 4272048
graph: 457, count: 27, tot checked: 4272048
graph: 458, count: 27, tot checked: 4272048
graph: 459, count: 27, tot checked: 4272048
graph: 460, count: 27, tot checked: 4272048
graph: 461, count: 27, tot checked: 4272048
graph: 462, count: 27, tot checked: 4272048
graph: 463, count: 27, tot checked: 4272048
graph: 464, count: 27, tot checked: 4272048
graph: 465, count: 27, tot checked: 4272048
graph: 466, count: 27, tot checked: 4272048
graph: 467, count: 27, tot checked: 4272048
graph: 468, count: 27, tot checked: 4272048
graph: 469, count: 27, tot checked: 4272048
graph: 470, count: 27, tot checked: 4272048
graph: 471, count: 27, tot checked: 4272048
graph: 472, count: 27, tot checked: 4272048
graph: 473, count: 27, tot checked: 4272048
